year,overflow_type,municipality,wet_dry_event,npdes,date_discovered,time_discovered,days,hours,minutes,location,pipe_manhole_id,zip_code,latitude,collection_system,quan_gals_gross,quan_gals_net,cause,health_dept_notified,how_heatlh_depart_was_notified,corrective_action,watershed,receiving_waters,county,comment,penalty_collected,penalty_collected_comments,long,watershed2,quan_gals_gross2,geometry
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/6/2018,3:00:00 PM,0,6,52,1222 Seminole Rd.,Manhole,21229,39.299902,City of Baltimore Dept. of Public Works,824,824,"Rags, roots, rain.",,NA,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,Gwynns Falls,Baltimore City,NA,NA,NA,-76.690956,Gwynns Falls,824,"c(1399791.58889857, 594961.74389853)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/6/2018,1:41:00 PM,0,1,18,4711 York Rd.,Manhole,21212,39.345891,City of Baltimore Dept. of Public Works,156,156,"Grease, trash/debris, sand, gravel, rocks.",,NA,Relieved mainline choke.  Performed CCTV inspection.,Jones Falls,Jones Falls,Baltimore City,NA,NA,NA,-76.609315,Jones Falls,156,"c(1422823.86149798, 611801.002284048)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/9/2018,12:29:00 PM,0,1,1,4100 Ethland Ave.,Manhole,21207,39.323787,City of Baltimore Dept. of Public Works,305,305,"Rags, roots, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 400 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,Gwynns Falls,Baltimore City,NA,NA,NA,-76.690119,Gwynns Falls,305,"c(1399998.92427895, 603662.252091235)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/11/2018,8:20:00 AM,0,8,35,428 E. Preston St.,Manhole,21202,39.30514,City of Baltimore Dept. of Public Works,4757000,4757000,Rain.,,NA,SSO structure; not applicable.  SSO structure will be closed upon completion of necessary capital project. Structure discharges directly to Jones Falls and is monitored by metering equipment in pipe.,Jones Falls,Jones Falls,Baltimore City,NA,NA,NA,-76.60977,Jones Falls,"4,757,000","c(1422758.63173346, 596957.580457876)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/11/2018,10:10:00 AM,0,5,0,1901 Falls Rd.,Manhole,21211,39.311744,City of Baltimore Dept. of Public Works,955000,955000,Rain.,,NA,SSO structure; not applicable.   SSO structure will be closed upon completion of necessary capital project.  Structure is monitored by metering equipment in the pipe.,Jones Falls,Jones Falls,Baltimore City,NA,NA,NA,-76.620287,Jones Falls,"955,000","c(1419772.59680786, 599350.415488794)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/11/2018,11:56:00 AM,0,2,1,Western Run Dr. & Bonnie View Dr.,Manhole,21209,39.367849,City of Baltimore Dept. of Public Works,36300,36300,Rain.,,NA,Replaced manhole cover.  Contractor to CCTV mainline.,Jones Falls,Western Run,Baltimore City,NA,NA,NA,-76.665348,Jones Falls,"36,300","c(1406947.79660898, 619735.979305711)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/13/2018,5:40:00 PM,0,5,55,3903 8th St.,Pipe,21225,39.232281,City of Baltimore Dept. of Public Works,710,710,"Rags, roots, pipe break.",,NA,Relieved mainline choke with 25 ft. of pressure hose.  Performed CCTV inspection to determine possible structural damage in pipe.,Baltimore Harbor,,Baltimore City,NA,NA,NA,-76.601138,Baltimore Harbor,710,"c(1425317.20413273, 570430.925605238)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/14/2018,11:05:00 AM,0,0,30,Fair Oaks Ave. & E. Northern Pkwy,Manhole,21214,39.366375,City of Baltimore Dept. of Public Works,150,150,"Rags, roots, grease.",,NA,Relieved 8 inch mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Back River,Inner Harbor,Baltimore City,NA,NA,NA,-76.561653,Back River,150,"c(1436267.33757898, 619323.217280974)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/14/2018,9:08:00 AM,0,6,50,251 S. Morley St.,Clean out,21229,39.282553,City of Baltimore Dept. of Public Works,1230,1230,"Rags, roots.",,NA,Relieved house connection choke; flushed and cleaned 8 inch mainline.  Performed CCTV inspection.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.677328,Gwynns Falls,"1,230","c(1403670.58002775, 588656.052050228)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/14/2018,1:00:00 PM,1,3,48,200 Font Hill Ave.,Pipe,21223,39.284167,City of Baltimore Dept. of Public Works,3336,3336,Pipe break.,,NA,Contractor replaced leaking joint.  Pipe is being bypassed and will be fixed in the future.,Gwynns Falls,Gwynns Falls,Baltimore City,NA,NA,NA,-76.663991,Gwynns Falls,"3,336","c(1407443.6414405, 589257.538376735)"
